id_author	name_author
a/LAlJadir	Lina Al-Jadir
15/1594	Michel Léonard
a/PAtzeni	Paolo Atzeni
b/LadjelBellatreche	Ladjel Bellatreche
k/KKarlapalem	Kamalakar Karlapalem
181/2689-1	Qing Li 0001
b/SBergamaschi	Sonia Bergamaschi
s/ClaudioSartori	Claudio Sartori 0001
b/SSBhowmick	Sourav S. Bhowmick
n/WeeKeongNg	Wee Keong Ng
l/EePengLim	Ee-Peng Lim
80/7037	Bruce Campbell
c/SilvanaCastano	Silvana Castano
a/ValeriaDeAntonellis	Valeria De Antonellis
45/1072	Michele Melchiori
23/3970	Donatella Castelli
82/6985	Serena Pisani
e/DWEmbley	David W. Embley
c/DougCampbell	Douglas M. Campbell
64/2889	Y. S. Jiang
l/StephenWLiddle	Stephen W. Liddle
932679	Yiu-Kai Ng
q/DQuass	Dallan Quass
91/243	Randy D. Smith
61/2685	Thomas Feyer
s/KlausDieterSchewe	Klaus-Dieter Schewe
t/BernhardThalheim	Bernhard Thalheim
69/751	Tetsuya Furukawa
14/4955	Fei Sha II
13/5740	Antonio Grau
f/JulianaKusterFilipe	Juliana Küster Filipe
k/MojganKowsari	Mojgan Kowsari
e/SilkeEckstein	Silke Eckstein
97/5205	Ralf Pinger
e/HDEhrich	Hans-Dieter Ehrich
63/3599	Tao Guan
60/6348	Miao Liu
s/LawrenceVSaxton	Lawrence V. Saxton
-290701	Remigijus Gustas
75/6791	Eckhart von Hahn
p/BarbaraPaech	Barbara Paech
28/4088	Conrad Bock
h/SvenHartmann	Sven Hartmann
j/ManfredAJeusfeld	Manfred A. Jeusfeld
q/ChristophQuix	Christoph Quix
j/MatthiasJarke	Matthias Jarke
429343	Yong S. Jun
61/962	Eunji Hong
32/3382	Suk I. Yoo
46/985	Jae Young Lee
e/RamezElmasri	Ramez Elmasri
78/4406	Roger H. L. Chiang
l/MengchiLiu	Mengchi Liu
50/1160	Min Guo
19/3024	Daniel L. Moody
69/3476	Graeme G. Shanks
73/4633	Peta Darke
m/AllenMoulton	Allen Moulton
b/SBressan	Stéphane Bressan
m/StuartEMadnick	Stuart E. Madnick
46/1802	Michael D. Siegel
n/ShahrulAzmanNoah	Shahrul Azman Noah
69/7004	Michael Lloyd-Williams
p/OscarPastor	Oscar Pastor
29/4995	Vicente Pelechano
i/EmilioInsfran	Emilio Insfrán
47/943	Jaime Gómez
1638480	Mark Richters
g/MartinGogolla	Martin Gogolla
32/2487	Simon R. Rollinson
35/3261	Stuart A. Roberts
47/6046	Reinhard Schütte
79/5989	Thomas Rotthowe
28/2245	J. Sonderegger
