id_author	id_work
a/LAlJadir	4517485
15/1594	4517485
a/PAtzeni	4517487
b/LadjelBellatreche	4517488
k/KKarlapalem	4517488
181/2689-1	4517488
b/SBergamaschi	4517489
s/ClaudioSartori	4517489
b/SSBhowmick	4517492
n/WeeKeongNg	4517492
l/EePengLim	4517492
80/7037	4517494
c/SilvanaCastano	4517495
a/ValeriaDeAntonellis	4517495
45/1072	4517495
23/3970	4517496
82/6985	4517496
e/DWEmbley	4517501
c/DougCampbell	4517501
64/2889	4517501
l/StephenWLiddle	4517501
08/4453	4517501
q/DQuass	4517501
91/243	4517501
61/2685	4517504
s/KlausDieterSchewe	4517504
t/BernhardThalheim	4517504
69/751	4517505
14/4955	4517505
13/5740	4517509
f/JulianaKusterFilipe	4517509
k/MojganKowsari	4517509
e/SilkeEckstein	4517509
97/5205	4517509
e/HDEhrich	4517509
63/3599	4517510
60/6348	4517510
s/LawrenceVSaxton	4517510
02/1104	4517511
75/6791	4517513
p/BarbaraPaech	4517513
28/4088	4517513
h/SvenHartmann	4517515
j/ManfredAJeusfeld	4517523
q/ChristophQuix	4517523
j/MatthiasJarke	4517523
07/3075	4517524
61/962	4517524
32/3382	4517524
46/985	4517530
e/RamezElmasri	4517530
l/EePengLim	4517532
78/4406	4517532
l/MengchiLiu	4517534
50/1160	4517534
19/3024	4517536
19/3024	4517537
69/3476	4517537
73/4633	4517537
m/AllenMoulton	4517539
b/SBressan	4517539
m/StuartEMadnick	4517539
46/1802	4517539
n/ShahrulAzmanNoah	4517543
69/7004	4517543
p/OscarPastor	4517545
29/4995	4517545
i/EmilioInsfran	4517545
47/943	4517545
01/6386	4517549
g/MartinGogolla	4517549
32/2487	4517551
35/3261	4517551
47/6046	4517557
79/5989	4517557
28/2245	4517558
44/4573	4517558
71/5536	4517558
61/3913	4517558
43/4008	4517559
t/DimitriTheodoratos	4517566
s/TimosKSellis	4517566
57/2745	4517567
86/314	3996339
156/1036	3996339
29/1174	3996339
m/EdlenoSilvadeMoura	3996339
s/ASdaSilva	3996339
b/BoualemBenatallah	3996343
c/FabioCasati	3996343
t/FaroukToumani	3996343
02/5154	3996345
20/1814	3996345
j/PaulJohannesson	3996345
01/1248	3996345
58/576	3996351
d/LMLDelcambre	3996351
10/1032	3996352
p/LorisPenserini	3996352
84/2138	3996352
k/TKuflik	3996352
18/948	3996354
41/3374	3996354
c/FabioCasati	3996356
04/4211	3996356
64/561	3996356
14/2029	3996357
64/4678	3996357
w/MinWang	3996357
71/5257	3996361
89/4942	3996361
75/3344	3996362
65/3279	3996362
r/MichaelRosemann	3996362
95/5445	3996362
95/2413	3996363
73/11012	3996363
t/BernhardThalheim	3996363
68/5409	3996365
a/WilMPvanderAalst	3996365
06/2326	3996367
w/RoelWieringa	3996367
g/JaapGordijn	3996367
e/DWEmbley	3996368
l/StephenWLiddle	3996368
10/5024	3996368
54/5057	3996369
74/1928	3996369
37/4469	3996369
c/SChakravarthy	3996369
23/2535-1	3996370
p/APoulovassilis	3996370
71/5979	3996371
24/3477	3996371
66/3108	3996371
09/6014	3996371
f/EduardoFernandezMedina	3996373
50/2311	3996373
33/2661	3996373
p/MPiattini	3996373
99/5874	3996375
t/AndreaTagarelli	3996375
23/1761	3996379
w/MinWang	3996379
w/XiaoyangSeanWang	3996379
p/SPadmanabhan	3996379
17/1770	3996386
91/2168	3996386
06/298	3996389
39/721-1	3996389
b/DavidABell	3996389
18/497	3996389
51/6972	3996392
l/TokWangLing	3996392
89/6279	3996393
s/IlYeolSong	3996393
60/2259	3996394
k/WKiessling	3996394
04/3227	3996396
42/5655	3996396
22/852	3996397
95/3433	3996397
s/JaideepSrivastava	3996397
83/6873	3996397
29/2643	3996399
b/MichaelHBohlen	3996399
60/5394	3996404
14/2029	3996404
01/4794	3996404
67/5511	3996404
17/6212	3996407
23/773	3996407
h/TheoHarder	3996407
61/2115-1	3996415
33/5374	3996415
63/2921	3996417
n/WilfredNg	3996417
l/SLujanMora	3996418
13/1242	3996418
50/2311	3996418
61/780	3996423
k/MasaruKitsuregawa	3996423
89/4942	3996425
29/6675	3996428
65/2353	3996428
c/StefanConrad1	3996428
04/2804	3996430
b/SSBhowmick	3996430
m/SanjayKumarMadria	3996430
55/3343	3996431
55/6965	3996431
72/2619	3996431
87/5216	3996433
a/VAtluri	3996433
17/3798	3996434
24/4105	3996434
r/MichaelRosemann	3996435
65/3279	3996435
09/3176	3996435
21/4899	3996438
g/AmarnathGupta	3996438
71/6602	3996441
s/IlYeolSong	3996441
51/6821	3996443
62/4365	3996443
41/1781	3996444
09/6014	3996444
60/1141	3996445
71/1374	3996445
62/2800	3996447
07/3111	3996447
n/WilfredNg	3996447
33/5488	3996448
65/2105	3996448
52/6788	3996450
94/3756	3996450
82/4206-35	3996450
w/WeiWang9	3996450
s/BaileShi	3996450
t/YannisTzitzikas	3996453
86/1157	3996453
72/4824	3996453
18/391	3996453
39/2637	3996453
23/2699	3996453
85/193	3996453
65/4573	3996453
27/6599	3996453
85/4391	3996454
c/CindyXChen	3996454
32/2991	3996454
04/5919	3996455
32/5663	3996455
m/EsperanzaMarcos	3996455
87/1950	3996456
g/JGGanascia	3996456
27/6106	3996457
45/6607-2	3996460
r/EARundensteiner	3996460
68/6610	3996462
20/5603	3996462
92/5001	3996462
71/2676	3996462
69/3405-1	3996463
z/CZaniolo	3996463
83/75	3996465
b/JamesBailey	3996465
93/1743	3996466
l/MengchiLiu	3996466
15/4924	3996466
97/2966-1	3996469
c/SCCheung	3996469
00/5109	3996469
51/6976	3996470
76/2866	3996470
40/5536	3996470
55/6418	3996472
25/4628	3996472
75/2083	3996472
53/662	3996472
43/4508	3996474
30/2058	3996474
z/DellZhang	3996475
92/6206	3996475
15/906	3996475
25/929-2	274847
139/5684	274847
c/StefanoCeri	274847
230/6733	274849
32/4078	274849
72/3662	274849
66/7740	274850
78/4279	274850
b/FAraujoBaiao	274850
l/SLifschitz	274850
198/9223	274850
s/DanielSchwabe	274850
91/3408	274851
32/4078	274851
11/78	274851
91/3408	274852
251/6055	274852
37/7639	274852
169/2246	274852
11/78	274852
220/6783	274853
251/6094	274853
69/5139	274853
66/10278	274853
96/2864	274853
180/3905	274857
18/10493	274857
20/3634	274857
m/JanMendling	274857
b/ABonifati	274862
81/2020	274862
65/2807	274862
36/1754	274862
236/4773	274862
19/1082	274862
142/8075	274863
251/6001	274863
45/1628	274863
250/0503	274864
s/ChantalSouleDupuy	274864
82/5349	274864
116/5369	274866
18/948	274866
07/1881	274866
g/MartinGogolla	274866
c/PaoloCiaccia	274870
14/6896	274870
t/RiccardoTorlone	274870
13/2106	274871
f/XavierFranch	274871
22/2713	274871
91/8213	274871
80/3358	274871
149/9260	274877
53/2190	274877
s/StefanieScherzinger	274877
251/6108	274878
33/6624	274878
46/5275	274878
72/1322-1	274878
169/2246	274879
33/8219	274879
11/78	274879
91/3408	274879
65/6778	274879
121/6099	274881
l/MongLiLee	274881
l/TokWangLing	274881
135/0951	274882
121/5033	274882
151/1055	274882
230/6735	274882
a/MaraAbel	274882
181/8358	274883
116/6894	274883
150/7277	274883
93/151	274883
m/BMitschang	274883
180/8353	274884
72/1322-1	274884
c/JBdCastro	274884
g/SergioGreco	274885
28/168	274885
s/DomenicoSacca	274885
10/5698	274885
75/5043	274886
181/7712	274886
11/78	274886
134/4947	274886
23/5432	274886
163/0801	274888
q/ChristophQuix	274888
23/2060	274888
215/0020	274889
136/4315	274889
g/MatteoGolfarelli	274889
31/1317	274891
91/6048	274891
l/JiahengLu	274891
126/6006	274894
138/4956	274894
