id_work	score_work	info_title_work	info_pages_work	info_year_work	info_type_work	info_key_work	info_url_work	info_doi_work	info_ee_work	url_work
274847	1	From a Conceptual Model to a Knowledge Graph for Genomic Datasets.	352-360	2019	Conference and Workshop Papers	conf/er/0002CC19	https://dblp.org/rec/conf/er/0002CC19	10.1007/978-3-030-33223-5_29	https://doi.org/10.1007/978-3-030-33223-5_29	URL#274847
274849	1	OOC-O - A Reference Ontology on Object-Oriented Code.	13-27	2019	Conference and Workshop Papers	conf/er/AguiarFS19	https://dblp.org/rec/conf/er/AguiarFS19	10.1007/978-3-030-33223-5_3	https://doi.org/10.1007/978-3-030-33223-5_3	URL#274849
274850	1	An Ontological Perspective for Database Tuning Heuristics.	240-254	2019	Conference and Workshop Papers	conf/er/AlmeidaCBLOS19	https://dblp.org/rec/conf/er/AlmeidaCBLOS19	10.1007/978-3-030-33223-5_20	https://doi.org/10.1007/978-3-030-33223-5_20	URL#274850
274851	1	Events as Entities in Ontology-Driven Conceptual Modeling.	469-483	2019	Conference and Workshop Papers	conf/er/AlmeidaFG19	https://dblp.org/rec/conf/er/AlmeidaFG19	10.1007/978-3-030-33223-5_39	https://doi.org/10.1007/978-3-030-33223-5_39	URL#274851
274852	1	Capturing Multi-level Models in a Two-Level Formal Modeling Technique.	43-51	2019	Conference and Workshop Papers	conf/er/AlmeidaMCFG19	https://dblp.org/rec/conf/er/AlmeidaMCFG19	10.1007/978-3-030-33223-5_5	https://doi.org/10.1007/978-3-030-33223-5_5	URL#274852
274853	1	Exploring the Modeling of Declarative Processes Using a Hybrid Approach.	162-170	2019	Conference and Workshop Papers	conf/er/AndaloussiBLSW19	https://dblp.org/rec/conf/er/AndaloussiBLSW19	10.1007/978-3-030-33223-5_14	https://doi.org/10.1007/978-3-030-33223-5_14	URL#274853
274857	1	A Probabilistic Approach to Event-Case Correlation for Process Mining.	136-152	2019	Conference and Workshop Papers	conf/er/BayomieCRM19	https://dblp.org/rec/conf/er/BayomieCRM19	10.1007/978-3-030-33223-5_12	https://doi.org/10.1007/978-3-030-33223-5_12	URL#274857
274862	1	Schema Validation and Evolution for Graph Databases.	448-456	2019	Conference and Workshop Papers	conf/er/BonifatiFGHOV19	https://dblp.org/rec/conf/er/BonifatiFGHOV19	10.1007/978-3-030-33223-5_37	https://doi.org/10.1007/978-3-030-33223-5_37	URL#274862
274863	1	Intuitive Understanding of Domain-Specific Modeling Languages - Proposition and Application of an Evaluation Technique.	311-319	2019	Conference and Workshop Papers	conf/er/BorkSK19	https://dblp.org/rec/conf/er/BorkSK19	10.1007/978-3-030-33223-5_26	https://doi.org/10.1007/978-3-030-33223-5_26	URL#274863
274864	1	DEMOS - A Participatory Design Approach for Democratic Empowerment of IS Users.	387-394	2019	Conference and Workshop Papers	conf/er/BourSV19	https://dblp.org/rec/conf/er/BourSV19	10.1007/978-3-030-33223-5_32	https://doi.org/10.1007/978-3-030-33223-5_32	URL#274864
